Close,Volume,SMA_100,RSI_14,Overbought,Oversold,Below_SMA,High_Volume,CA_Close,CA_Change,PA_CA_Ratio,CA_Volatility,Target
12.59000015258789,1418100,12.797500009536742,39.583331677648495,0,0,1,1,59.599998474121094,-0.0028442694050623274,0.21124161867121818,1.2922560680979838,1
12.399999618530273,758200,12.813700008392335,29.004327038395914,0,1,1,0,59.31999969482422,-0.004697966215862492,0.20903573297762237,1.2494011204350954,0
12.449999809265137,377100,12.828300008773803,30.638304261827784,0,0,1,0,59.70000076293945,0.0064059519566785905,0.2085427076729355,1.1628926673999647,1
12.40999984741211,508800,12.835700006484986,42.60355263321246,0,0,1,0,60.18000030517578,0.008040193234541748,0.20621468565002052,1.0007755070046722,0
12.760000228881836,804300,12.845200004577636,46.408837450202135,0,0,1,0,63.150001525878906,0.04935196420143062,0.20205858936728915,1.2793838349739888,0
12.800000190734863,641200,12.857100009918213,53.0120599596929,0,0,1,0,63.459999084472656,0.004908908172657878,0.2017018653227453,1.4701306312515903,0
12.850000381469727,955200,12.86720001220703,49.0196163984639,0,0,1,1,63.130001068115234,-0.005200094880527084,0.20354823636973343,1.6291981073987616,0
12.880000114440918,960400,12.87730001449585,50.98038360153611,0,0,0,1,63.380001068115234,0.003960082302711498,0.20321867932072837,1.77411572798464,1
12.4399995803833,1573700,12.880400009155274,42.622938004913244,0,0,1,1,62.439998626708984,-0.014831215297645972,0.1992312596411513,1.8269177433798613,0
12.510000228881836,1225500,12.881600008010864,41.34080146961669,0,0,1,1,61.349998474121094,-0.01745676131584084,0.20391198920925377,1.7581446794178786,1
12.399999618530273,726000,12.880300006866456,38.62433835736019,0,0,1,0,61.43000030517578,0.0013040233585079886,0.20185576355054902,1.7578158727411939,1
12.319999694824219,828800,12.883000001907348,41.47727303514775,0,0,1,0,62.13999938964844,0.011557855786187288,0.19826198606133105,1.6321832041968214,0
12.34000015258789,919100,12.89119999885559,42.613638826635224,0,0,1,1,61.90999984741211,-0.00370131227060555,0.19932159878870517,1.5337659427658354,1
12.3100004196167,761000,12.89420000076294,36.969736202520814,0,0,1,0,62.939998626708984,0.016637034111379068,0.19558310591441674,1.492615880048956,0
12.65999984741211,1279800,12.89949999809265,51.89188130326392,0,0,1,1,63.86000061035156,0.014617127481985293,0.19824615916739421,1.4602749723765407,1
12.510000228881836,560400,12.901999998092652,53.03868858816264,0,0,1,0,65.01000213623047,0.01800816653441273,0.19243193071648307,1.440335315584554,1
11.829999923706055,1631600,12.89170000076294,37.29509205882917,0,0,1,1,63.58000183105469,-0.02199661987672563,0.18606479366389736,1.2319587595976922,1
11.729999542236328,1440900,12.88199999809265,36.40000427245768,0,0,1,1,64.48999786376953,0.014312614131922974,0.1818886638079322,1.0798399490541573,1
11.619999885559082,908600,12.871499996185303,24.778766663445552,0,1,1,0,65.69000244140625,0.01860760765059477,0.1768914515440139,1.2953620891424251,0
11.880000114440918,987400,12.861399993896484,31.451622206754934,0,0,1,1,65.62999725341797,-0.0009134599750061367,0.18101478911782323,1.4494390298969384,0
12.069999694824219,816300,12.84689998626709,35.11449548096837,0,0,1,0,64.70999908447266,-0.014017952269492095,0.18652449178994357,1.4914160190118286,0
12.239999771118164,865100,12.835299987792968,38.40579584951441,0,0,1,0,64.9000015258789,0.0029362145587148447,0.18859783484521925,1.5390382090767936,0
12.6899995803833,1276300,12.829299983978272,54.512634633314,0,0,1,1,64.91999816894531,0.0003081146779084776,0.19547134837257113,1.5408077772550632,1
12.430000305175781,818000,12.818799991607666,48.64864951942533,0,0,1,0,65.27999877929688,0.00554529606446863,0.19041054742197347,1.42254239260496,0
12.670000076293945,1511000,12.807999992370606,54.36894192706517,0,0,1,1,66.08000183105469,0.012254948938686727,0.19173728394817072,1.3055707376343961,1
12.359999656677246,972100,12.792799987792968,50.60240929246819,0,0,1,0,63.81999969482422,-0.0342009999032471,0.19366969153625585,1.153466082695812,0
12.989999771118164,938600,12.786299982070922,58.26971861985556,0,0,0,0,65.37000274658203,0.024287105283134602,0.19871499500296744,0.9020895390904128,0
13.029999732971191,1066100,12.786299982070922,59.137050308516166,0,0,0,1,66.2699966430664,0.013767689439655673,0.1966198942363803,0.8286146595853958,1
12.789999961853027,1038500,12.784099979400635,51.69712988773781,0,0,0,1,65.48999786376953,-0.011770013864614959,0.1952969976652841,0.772974507482703,1
12.710000038146973,1705200,12.779399976730346,52.659572444386946,0,0,1,1,63.36000061035156,-0.032524008595155696,0.2005997461127621,0.9010542308793096,1
12.460000038146973,1346000,12.774199981689453,59.459464103601704,0,0,1,1,62.04999923706055,-0.02067552652575244,0.2008058048241996,1.1430044822724608,1
12.15999984741211,1261300,12.766099977493287,56.090657986876565,0,0,1,1,63.58000183105469,0.024657576354655486,0.19125510373232155,1.1906337558448359,0
12.300000190734863,397300,12.758199977874757,59.55056751666921,0,0,1,0,66.05000305175781,0.03884871263870715,0.1862225529230357,1.2150540123269413,1
11.970000267028809,759100,12.746699981689453,51.23967180985358,0,0,1,0,66.06999969482422,0.0003027500702874608,0.18117148963987054,1.2429283236254824,1
11.8100004196167,742300,12.735699987411499,46.38889838148197,0,0,1,0,66.20999908447266,0.0021189555062068877,0.17837185593018115,1.2932335486683773,1
11.699999809265137,1251000,12.7231999874115,42.37288181254157,0,0,1,1,66.8499984741211,0.009666204478147034,0.1750186996944247,1.3877483519471763,0
11.9399995803833,760800,12.709699983596801,38.73873848073091,0,0,1,0,66.31999969482422,-0.007928179377626243,0.18003618265267826,1.4237542489189998,0
